FREE	0x600002444020	0	0	src/server.c:186:4	3554540569	3554540694
MALLOC	0x600002a44000	40	1	src/logger.c:62:27	3554548784	3554548963
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554552239	3554552363
MALLOC	0x600002444020	17	1	src/server.c:174:14	3554555027	3554555175
MALLOC	0x600002a44000	48	1	src/logger.c:62:27	3554555531	3554555631
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554557834	3554557973
FREE	0x600002444020	0	0	src/server.c:186:4	3554558699	3554558812
MALLOC	0x600002a44000	37	1	src/logger.c:62:27	3554565028	3554565195
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554567733	3554567846
MALLOC	0x600002444080	17	1	src/server.c:174:14	3554574538	3554574685
MALLOC	0x600002a44000	48	1	src/logger.c:62:27	3554575044	3554575149
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554577350	3554577470
FREE	0x600002444080	0	0	src/server.c:186:4	3554578029	3554578126
MALLOC	0x600002a44000	37	1	src/logger.c:62:27	3554584753	3554584901
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554587583	3554587710
MALLOC	0x600002444080	25	1	src/server.c:174:14	3554589659	3554589792
MALLOC	0x60000315c000	56	1	src/logger.c:62:27	3554590048	3554590157
FREE	0x60000315c000	0	0	src/logger.c:71:5	3554592227	3554592335
MALLOC	0x6000026400f0	12	1	src/smtp.c:86:41	3554627544	3554627673
FREE	0x600002444080	0	0	src/server.c:186:4	3554629579	3554629689
MALLOC	0x600002a44000	40	1	src/logger.c:62:27	3554637874	3554638084
FREE	0x600002a44000	0	0	src/logger.c:71:5	3554641214	3554641328
MALLOC	0x600002454000	25	1	src/server.c:174:14	3554671100	3554671564
MALLOC	0x600003154300	56	1	src/logger.c:62:27	3554672421	3554672548
FREE	0x600003154300	0	0	src/logger.c:71:5	3554677507	3554677710
MALLOC	0x600002658190	12	1	src/smtp.c:86:41	3554730096	3554730230
FREE	0x600002454000	0	0	src/server.c:186:4	3554732815	3554732944
MALLOC	0x600002a54000	40	1	src/logger.c:62:27	3554745056	3554745318
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554749542	3554749658
MALLOC	0x600002454000	17	1	src/server.c:174:14	3554755423	3554755551
MALLOC	0x600002a54000	48	1	src/logger.c:62:27	3554755957	3554756064
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554758429	3554758550
FREE	0x600002454000	0	0	src/server.c:186:4	3554759356	3554759467
MALLOC	0x600002a54000	37	1	src/logger.c:62:27	3554766846	3554766999
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554769745	3554769856
MALLOC	0x600002658290	5	1	src/server.c:174:14	3554776983	3554777148
MALLOC	0x600002a54000	36	1	src/logger.c:62:27	3554777527	3554777628
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554779886	3554779997
FREE	0x600002658290	0	0	src/server.c:186:4	3554792580	3554792685
MALLOC	0x600002a54000	37	1	src/logger.c:62:27	3554800041	3554800267
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554803179	3554803292
MALLOC	0x600002658290	5	1	src/server.c:174:14	3554808011	3554808158
MALLOC	0x600002a54000	36	1	src/logger.c:62:27	3554808492	3554808602
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554810784	3554810898
FREE	0x600002658290	0	0	src/server.c:186:4	3554821473	3554821585
MALLOC	0x600002a54000	37	1	src/logger.c:62:27	3554829247	3554829389
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554832211	3554832323
MALLOC	0x600002658290	5	1	src/server.c:174:14	3554836663	3554836803
MALLOC	0x600002a54000	36	1	src/logger.c:62:27	3554837133	3554837228
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554839427	3554839535
FREE	0x600002658290	0	0	src/server.c:186:4	3554849305	3554849425
MALLOC	0x600002a54000	37	1	src/logger.c:62:27	3554857311	3554857477
FREE	0x600002a54000	0	0	src/logger.c:71:5	3554860361	3554860478
MALLOC	0x60000245c000	25	1	src/server.c:174:14	3554889583	3554890068
MALLOC	0x600003140000	56	1	src/logger.c:62:27	3554890946	3554894844
FREE	0x600003140000	0	0	src/logger.c:71:5	3554900406	3554900622
MALLOC	0x600002644190	12	1	src/smtp.c:86:41	3554982558	3554982701
FREE	0x60000245c000	0	0	src/server.c:186:4	3554985269	3554985375
MALLOC	0x600002a5c000	40	1	src/logger.c:62:27	3554997782	3554998002
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555002549	3555002699
MALLOC	0x60000245c000	26	1	src/server.c:174:14	3555008686	3555008838
MALLOC	0x600003140000	57	1	src/logger.c:62:27	3555009252	3555009366
FREE	0x600003140000	0	0	src/logger.c:71:5	3555012021	3555012132
MALLOC	0x60000245c020	32	1	src/smtp.c:109:48	3555050727	3555050862
FREE	0x60000245c000	0	0	src/server.c:186:4	3555052983	3555053078
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555062773	3555062926
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555066353	3555066471
MALLOC	0x60000245c000	26	1	src/server.c:174:14	3555068876	3555069007
MALLOC	0x600003140000	57	1	src/logger.c:62:27	3555069365	3555069475
FREE	0x600003140000	0	0	src/logger.c:71:5	3555071653	3555071756
MALLOC	0x60000245c040	32	1	src/smtp.c:109:48	3555102955	3555103067
FREE	0x60000245c000	0	0	src/server.c:186:4	3555104806	3555104929
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555112616	3555112757
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555115833	3555115952
MALLOC	0x60000245c000	25	1	src/server.c:174:14	3555122167	3555122321
MALLOC	0x600003140000	56	1	src/logger.c:62:27	3555122611	3555122716
FREE	0x600003140000	0	0	src/logger.c:71:5	3555125058	3555125161
MALLOC	0x6000026440f0	12	1	src/smtp.c:86:41	3555162907	3555163034
FREE	0x60000245c000	0	0	src/server.c:186:4	3555165125	3555165244
MALLOC	0x600002a5c000	40	1	src/logger.c:62:27	3555173018	3555173181
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555176477	3555176614
MALLOC	0x60000245c000	26	1	src/server.c:174:14	3555178913	3555179048
MALLOC	0x600003140000	57	1	src/logger.c:62:27	3555180032	3555180146
FREE	0x600003140000	0	0	src/logger.c:71:5	3555182314	3555182423
MALLOC	0x60000245c060	32	1	src/smtp.c:109:48	3555212597	3555212726
FREE	0x60000245c000	0	0	src/server.c:186:4	3555214516	3555214638
