MALLOC	0x600003500000	37	1	src/logger.c:62:27	23689530552	23689530766
FREE	0x600003500000	0	0	src/logger.c:71:5	23689534185	23689534308
MALLOC	0x600003b00000	17	1	src/server.c:174:14	23696483826	23696484682
MALLOC	0x600003500000	48	1	src/logger.c:62:27	23696485668	23696485852
FREE	0x600003500000	0	0	src/logger.c:71:5	23696492556	23696492759
FREE	0x600003b00000	0	0	src/server.c:186:4	23696493881	23696493990
MALLOC	0x600003500000	37	1	src/logger.c:62:27	23696507366	23696507556
FREE	0x600003500000	0	0	src/logger.c:71:5	23696510888	23696511049
MALLOC	0x600003b00000	25	1	src/server.c:174:14	23697275021	23697275560
MALLOC	0x600002e1c000	56	1	src/logger.c:62:27	23697276206	23697280975
FREE	0x600002e1c000	0	0	src/logger.c:71:5	23697306757	23697306893
MALLOC	0x6000039001a0	12	1	src/smtp.c:86:41	23697454399	23697454543
FREE	0x600003b00000	0	0	src/server.c:186:4	23697456925	23697457019
MALLOC	0x600003500000	40	1	src/logger.c:62:27	23697485393	23697485584
FREE	0x600003500000	0	0	src/logger.c:71:5	23697509841	23697509976
MALLOC	0x600003b00000	17	1	src/server.c:174:14	23697515499	23697515639
MALLOC	0x600003500000	48	1	src/logger.c:62:27	23697515988	23697516084
FREE	0x600003500000	0	0	src/logger.c:71:5	23697518100	23697518203
FREE	0x600003b00000	0	0	src/server.c:186:4	23697518882	23697518975
MALLOC	0x600003500000	37	1	src/logger.c:62:27	23697525241	23697525384
FREE	0x600003500000	0	0	src/logger.c:71:5	23697527836	23697527945
MALLOC	0x600003b04000	25	1	src/server.c:174:14	23704659894	23704680371
MALLOC	0x600002e00000	56	1	src/logger.c:62:27	23704681330	23704683883
FREE	0x600002e00000	0	0	src/logger.c:71:5	23704711731	23704711926
MALLOC	0x600003904190	12	1	src/smtp.c:86:41	23704828391	23704828557
FREE	0x600003b04000	0	0	src/server.c:186:4	23704831362	23704831474
MALLOC	0x600003504000	40	1	src/logger.c:62:27	23704846145	23704846354
FREE	0x600003504000	0	0	src/logger.c:71:5	23704850705	23704850853
MALLOC	0x600003b04000	26	1	src/server.c:174:14	23704856959	23704857090
MALLOC	0x600002e00000	57	1	src/logger.c:62:27	23704857486	23704857590
FREE	0x600002e00000	0	0	src/logger.c:71:5	23704873931	23704874026
MALLOC	0x600003b04020	32	1	src/smtp.c:109:48	23704931301	23704931431
FREE	0x600003b04000	0	0	src/server.c:186:4	23704933400	23704933492
MALLOC	0x600003504000	37	1	src/logger.c:62:27	23704957844	23704958002
FREE	0x600003504000	0	0	src/logger.c:71:5	23704980769	23704981025
MALLOC	0x60000391c010	5	1	src/server.c:174:14	23731550421	23731551369
MALLOC	0x600003518000	36	1	src/logger.c:62:27	23731552661	23731552922
FREE	0x600003518000	0	0	src/logger.c:71:5	23731561555	23731561833
FREE	0x60000391c010	0	0	src/server.c:186:4	23731606382	23731606517
MALLOC	0x600003518000	37	1	src/logger.c:62:27	23731617856	23731618040
FREE	0x600003518000	0	0	src/logger.c:71:5	23731621781	23731621923
MALLOC	0x600003b04000	25	1	src/server.c:174:14	23732236648	23732237344
MALLOC	0x600002e00000	56	1	src/logger.c:62:27	23732238058	23732238390
FREE	0x600002e00000	0	0	src/logger.c:71:5	23732244560	23732244769
MALLOC	0x6000039041c0	12	1	src/smtp.c:86:41	23732290885	23732291016
FREE	0x600003b04000	0	0	src/server.c:186:4	23732293280	23732293394
MALLOC	0x600003504000	40	1	src/logger.c:62:27	23732308275	23732308452
FREE	0x600003504000	0	0	src/logger.c:71:5	23732312465	23732312594
MALLOC	0x600003b14000	25	1	src/server.c:174:14	23733153949	23733154498
MALLOC	0x600002e14040	56	1	src/logger.c:62:27	23733155285	23733155496
FREE	0x600002e14040	0	0	src/logger.c:71:5	23733161265	23733161508
MALLOC	0x600003918190	12	1	src/smtp.c:86:41	23733266236	23733266350
FREE	0x600003b14000	0	0	src/server.c:186:4	23733268666	23733268766
MALLOC	0x600003514000	40	1	src/logger.c:62:27	23733279915	23733280090
FREE	0x600003514000	0	0	src/logger.c:71:5	23733283905	23733284041
MALLOC	0x600003b14000	17	1	src/server.c:174:14	23733303774	23733303901
MALLOC	0x600003514000	48	1	src/logger.c:62:27	23733304264	23733304349
FREE	0x600003514000	0	0	src/logger.c:71:5	23733306594	23733306724
FREE	0x600003b14000	0	0	src/server.c:186:4	23733307411	23733307509
MALLOC	0x600003514000	37	1	src/logger.c:62:27	23733328812	23733328986
FREE	0x600003514000	0	0	src/logger.c:71:5	23733331607	23733331736
MALLOC	0x600003b11120	25	1	src/server.c:174:14	23734159357	23734180610
MALLOC	0x600002e101c0	56	1	src/logger.c:62:27	23734181452	23734181627
FREE	0x600002e101c0	0	0	src/logger.c:71:5	23734187055	23734187198
MALLOC	0x6000039141f0	12	1	src/smtp.c:86:41	23734307073	23734307214
